outcome_type,family,endpoint,source,definition_group,measurement_class,source_modality,direct_vs_inferred,derivation_algorithm,original_scale,transformation,expected_measurement_error,biological_interpretation,equivalence_caveat,source_reference,same_histology_modality
binary,driver_mutation,APC,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering APC variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,APOB,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering APOB variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ARHGAP35,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ARHGAP35 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ARID1A,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ARID1A variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ARID2,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ARID2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ARID5B,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ARID5B variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ASXL2,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ASXL2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ATF7IP,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ATF7IP variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ATM,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ATM variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ATR,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ATR variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ATRX,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ATRX variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,AXIN1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering AXIN1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,BAP1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering BAP1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,BCOR,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering BCOR variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,BRAF,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering BRAF variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,BRCA1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering BRCA1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CASP8,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CASP8 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CCND1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CCND1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CDH1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CDH1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CDKN1A,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CDKN1A variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CDKN2A,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CDKN2A variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CHD3,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CHD3 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CHD4,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CHD4 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CIC,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CIC variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CREBBP,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CREBBP variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CTCF,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CTCF variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CTNNB1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CTNNB1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CTNND1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CTNND1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,CUL3,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CUL3 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,DICER1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering DICER1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,DMD,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering DMD variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,EGFR,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering EGFR variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ELF3,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ELF3 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,EP300,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering EP300 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,EPHA2,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering EPHA2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ERBB2,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ERBB2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ERBB3,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ERBB3 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ERBB4,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ERBB4 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ERCC2,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ERCC2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,FAT1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering FAT1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,FBXW7,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering FBXW7 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,FGFR2,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering FGFR2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,FGFR3,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering FGFR3 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,FOXA1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering FOXA1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,FOXA2,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering FOXA2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
